Rack_ID,Modules_per_rack,rack_type,elevation,rear_shading,tilt,length,width,Area,cost_components
,#,#,m,%,,m,m,m2,list
5B_MAV,120,east_west,0.1,1,10,20,10,200,"[(17,'rack'),(19,'fixed')]"
SAT_1,90,SAT,2,0.05,NA,40,5,200,"[(13,'rack'),(14,'fixed')]"
5B_MAV_separated,120,east_west,0.1,1,10,20,10,200,"[(21,'rack'),(19,'fixed'),(22,'MW')]"
SAT_1_separated,90,SAT,2,0.05,NA,40,5,200,"[(23,'rack'),(14,'fixed'),(24,'MW')]"
5B_MAV_update,120,east_west,0.1,1,10,20,10,200,"[(25,'rack'),(29,'fixed'),(26,'MW')]"
SAT_1_update,90,SAT,2,0.05,NA,40,5,200,"[(27,'rack'),(30,'fixed'),(28,'MW')]"
5B_MAV_6g_10,48,east_west,0.1,1,10,20,10,200,"[(39,'rack')]"
5B_MAV_6g_12,48,east_west,0.1,1,10,20,10,200,"[(40,'rack')]"
SAT_84module,84,SAT,2,0.05,NA,40,5,200,"[(27,'rack'),(30,'fixed'),(28,'MW')]"
5B_MAV_5P13B,120,east_west,0.1,1,10,20,10,200,"[(38,'rack')]"
SAT_84module_600W,84,SAT,2,0.05,NA,40,5,200,"[(41,'rack')]"
SAT_84module_660W,84,SAT,2,0.05,NA,40,5,200,"[(42,'rack')]"
