PeriodEnd,PeriodStart,Period,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,Time,WindDirection10m,WindSpeed10m,Zenith
2011-12-31T17:00:00Z,2011-12-31T16:00:00Z,PT60M,29.6,0.15,-154,0.0,15.7,0,0,0,0,0,0,31.6,43.0,0.0,974.2,2011-12-31T17:00:00Z,19,5.8,134
2011-12-31T18:00:00Z,2011-12-31T17:00:00Z,PT60M,29.0,0.15,-139,0.0,17.4,0,0,0,0,0,0,32.8,49.4,0.0,974.3,2011-12-31T18:00:00Z,14,5.9,126
2011-12-31T19:00:00Z,2011-12-31T18:00:00Z,PT60M,28.6,0.15,-129,0.0,18.2,0,0,0,0,0,0,33.6,53.4,0.0,974.6,2011-12-31T19:00:00Z,11,5.7,116
2011-12-31T20:00:00Z,2011-12-31T19:00:00Z,PT60M,28.3,0.15,-121,0.0,18.5,0,0,0,0,0,0,34.0,55.3,0.0,975.2,2011-12-31T20:00:00Z,8,5.4,104
2011-12-31T21:00:00Z,2011-12-31T20:00:00Z,PT60M,28.0,0.15,-115,0.0,18.7,12,38,4,17,12,19,34.3,56.8,0.0,975.9,2011-12-31T21:00:00Z,5,5.0,91
2011-12-31T22:00:00Z,2011-12-31T21:00:00Z,PT60M,28.9,0.15,-111,0.0,18.6,61,339,93,154,109,353,34.2,53.6,0.0,976.2,2011-12-31T22:00:00Z,356,4.9,78
2011-12-31T23:00:00Z,2011-12-31T22:00:00Z,PT60M,30.6,0.15,-108,0.0,18.3,106,610,269,377,304,724,33.9,47.7,0.0,976.4,2011-12-31T23:00:00Z,343,5.1,65
2012-01-01T00:00:00Z,2011-12-31T23:00:00Z,PT60M,32.5,0.15,-106,0.0,18.0,134,744,470,604,526,903,33.6,42.1,0.0,976.6,2012-01-01T00:00:00Z,332,5.5,51
2012-01-01T01:00:00Z,2012-01-01T00:00:00Z,PT60M,34.2,0.15,-105,0.0,16.9,151,816,646,797,722,980,33.6,35.7,0.0,976.2,2012-01-01T01:00:00Z,325,5.2,37
2012-01-01T02:00:00Z,2012-01-01T01:00:00Z,PT60M,35.9,0.15,-107,0.0,15.3,165,851,774,939,867,1020,33.9,29.4,0.0,975.5,2012-01-01T02:00:00Z,320,4.2,24
2012-01-01T03:00:00Z,2012-01-01T02:00:00Z,PT60M,37.5,0.15,-128,0.3,13.6,177,858,838,1016,947,1035,34.2,24.1,0.0,974.7,2012-01-01T03:00:00Z,312,3.1,11
2012-01-01T04:00:00Z,2012-01-01T03:00:00Z,PT60M,38.3,0.15,147,10.2,12.4,361,570,562,925,872,931,34.4,21.4,0.0,974.0,2012-01-01T04:00:00Z,311,2.0,10
2012-01-01T05:00:00Z,2012-01-01T04:00:00Z,PT60M,38.6,0.15,111,15.3,11.7,443,397,373,816,772,846,34.6,20.1,0.0,973.2,2012-01-01T05:00:00Z,332,1.0,20
2012-01-01T06:00:00Z,2012-01-01T05:00:00Z,PT60M,38.8,0.15,105,35.9,11.1,423,129,117,542,521,555,34.7,19.0,0.0,972.5,2012-01-01T06:00:00Z,56,0.8,33
2012-01-01T07:00:00Z,2012-01-01T06:00:00Z,PT60M,38.7,0.15,105,46.8,10.8,338,4,1,340,332,344,34.9,18.8,0.0,972.2,2012-01-01T07:00:00Z,73,1.4,47
2012-01-01T08:00:00Z,2012-01-01T07:00:00Z,PT60M,38.5,0.15,107,22.2,10.8,230,175,73,304,276,431,35.1,19.0,0.0,972.3,2012-01-01T08:00:00Z,68,1.9,61
