Track, (Lat. -18.7692° S, long. 133.6159° E, alt. 301 m);;
Track;SolarGISv2.2.7;TMY;
Meteo for Track -  Typical Meteorological Year;
 ;
Interval beginning;GlobHor;DiffHor;T_Amb;WindVel;
File beginning;W/m²;W/m²;°C;m/s;
01/01/90 00:00;0.0;0.0;31.1;3.1;
01/01/90 01:00;0.0;0.0;30.5;3.0;
01/01/90 02:00;0.0;0.0;30.6;3.1;
01/01/90 03:00;0.0;0.0;30.2;3.2;
01/01/90 04:00;0.0;0.0;29.6;3.4;
01/01/90 05:00;13.0;9.0;29.3;3.4;
01/01/90 06:00;165.0;45.0;31.6;3.2;
01/01/90 07:00;403.0;71.0;35.1;3.1;
01/01/90 08:00;639.0;82.0;34.9;2.6;
01/01/90 09:00;831.0;119.0;36.0;2.3;
01/01/90 10:00;910.0;208.0;38.4;2.0;
01/01/90 11:00;923.0;274.0;39.4;1.1;
01/01/90 12:00;998.0;242.0;39.6;0.4;
01/01/90 13:00;1012.0;109.0;40.1;1.3;
01/01/90 14:00;886.0;114.0;40.6;2.3;
01/01/90 15:00;664.0;175.0;40.8;2.7;
01/01/90 16:00;482.0;74.0;40.6;2.8;
01/01/90 17:00;241.0;49.0;40.5;2.9;
01/01/90 18:00;50.0;21.0;38.8;2.9;
01/01/90 19:00;0.0;0.0;36.0;3.3;
01/01/90 20:00;0.0;0.0;35.7;4.3;
01/01/90 21:00;0.0;0.0;34.7;4.6;
01/01/90 22:00;0.0;0.0;33.7;4.3;
01/01/90 23:00;0.0;0.0;33.4;3.8;
02/01/90 00:00;0.0;0.0;32.6;3.5;
02/01/90 01:00;0.0;0.0;31.8;3.4;
02/01/90 02:00;0.0;0.0;31.6;3.5;
02/01/90 03:00;0.0;0.0;30.9;3.6;
02/01/90 04:00;0.0;0.0;30.3;3.6;
02/01/90 05:00;13.0;8.0;29.9;3.4;
02/01/90 06:00;172.0;40.0;32.5;3.4;
02/01/90 07:00;411.0;65.0;36.9;4.1;
02/01/90 08:00;644.0;79.0;36.5;5.4;
02/01/90 09:00;849.0;90.0;38.0;6.2;
02/01/90 10:00;1003.0;95.0;40.3;6.0;
02/01/90 11:00;1088.0;100.0;41.1;5.1;
02/01/90 12:00;1101.0;101.0;42.1;4.0;
02/01/90 13:00;1038.0;98.0;43.3;3.0;
02/01/90 14:00;905.0;91.0;43.3;2.5;
02/01/90 15:00;715.0;89.0;43.4;2.4;
02/01/90 16:00;486.0;79.0;42.8;2.3;
02/01/90 17:00;244.0;54.0;42.6;2.3;
02/01/90 18:00;51.0;22.0;40.7;2.3;
02/01/90 19:00;0.0;0.0;37.5;2.6;
02/01/90 20:00;0.0;0.0;36.9;2.9;
02/01/90 21:00;0.0;0.0;35.2;2.8;
02/01/90 22:00;0.0;0.0;33.8;3.0;
02/01/90 23:00;0.0;0.0;33.5;3.7;
03/01/90 00:00;0.0;0.0;32.6;4.5;
03/01/90 01:00;0.0;0.0;31.7;5.4;
03/01/90 02:00;0.0;0.0;31.8;6.3;
03/01/90 03:00;0.0;0.0;31.3;6.8;
03/01/90 04:00;0.0;0.0;30.6;6.9;
03/01/90 05:00;11.0;7.0;30.4;6.8;
03/01/90 06:00;165.0;49.0;32.4;6.7;
03/01/90 07:00;410.0;73.0;35.7;7.2;
03/01/90 08:00;647.0;90.0;35.7;7.5;
03/01/90 09:00;848.0;142.0;37.6;6.6;
03/01/90 10:00;1002.0;154.0;40.4;5.0;
03/01/90 11:00;1088.0;159.0;41.5;3.5;
03/01/90 12:00;1101.0;160.0;42.6;2.4;
03/01/90 13:00;1039.0;157.0;44.3;2.2;
03/01/90 14:00;905.0;148.0;44.9;3.2;
03/01/90 15:00;713.0;139.0;44.7;4.5;
03/01/90 16:00;482.0;120.0;43.8;5.4;
03/01/90 17:00;238.0;81.0;43.2;6.2;
03/01/90 18:00;49.0;27.0;41.6;6.0;
